Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
20094, 0.12, -0.29, 0.68, 171.75, -14.36, -5.18, -0.06, 0.34, -0.34
20164, -0.01, -0.65, 0.52, 266.83, -13.42, -0.88, -0.07, 0.38, -0.31
20245, -0.17, -0.75, 1.07, 286.56, -83.71, 17.80, -0.10, 0.45, -0.18
20329, -0.00, -1.09, -0.04, 210.28, 15.35, -17.39, -0.10, 0.46, -0.13
20401, -0.07, -0.95, -0.47, 156.42, 36.63, -11.49, -0.10, 0.44, -0.05
20470, -0.11, -1.12, -0.50, 64.36, 31.32, -22.07, -0.11, 0.43, -0.04
20540, -0.06, -1.08, -0.24, 22.72, -10.75, -14.25, -0.12, 0.41, -0.03
20609, -0.08, -1.03, -0.25, -69.64, 36.68, 35.81, -0.12, 0.42, -0.04
20678, -0.05, -1.14, 0.19, -251.65, 57.54, 26.43, -0.11, 0.44, -0.08
20748, -0.06, -0.97, 0.12, -286.72, 62.34, 43.00, -0.10, 0.44, -0.23
20817, -0.08, -1.01, 0.91, -286.72, -8.77, -5.26, -0.09, 0.39, -0.29
20888, 0.11, -0.19, 0.84, -286.72, 50.26, -0.93, -0.08, 0.32, -0.34
20961, 0.09, 0.38, 0.34, -286.72, 19.62, 61.92, -0.06, 0.15, -0.35
21030, -0.20, 1.66, -0.10, -286.72, -14.28, 95.61, -0.06, 0.07, -0.31
21100, -0.07, 1.13, 0.26, -286.06, -22.50, 48.97, -0.08, -0.01, -0.12
21169, -0.08, 0.73, -0.19, -159.43, 1.05, -22.50, -0.09, 0.00, -0.08
21238, -0.07, 1.49, -0.47, 50.82, 31.32, 59.26, -0.09, 0.01, -0.07
21308, -0.15, 0.72, -0.12, 145.16, 32.08, -76.23, -0.09, -0.00, -0.11
21378, 0.03, 1.42, 0.33, 286.68, 35.26, 42.92, -0.08, 0.01, -0.19
21459, 0.11, 0.73, 0.55, 286.68, 62.97, -12.81, -0.07, 0.10, -0.33
21529, 0.10, -0.02, 0.84, 286.68, -2.83, -61.26, -0.06, 0.16, -0.36
21598, 0.04, -0.27, 0.84, 286.68, -12.80, -23.76, -0.06, 0.24, -0.37
21667, 0.03, -0.17, 0.59, 225.22, 3.82, 32.17, -0.07, 0.35, -0.33
21736, 0.02, -0.68, 0.85, 224.02, -12.22, -24.46, -0.07, 0.39, -0.30
21805, -0.05, -0.64, 0.33, 257.13, 0.35, -43.99, -0.08, 0.42, -0.26
21874, -0.17, -1.09, -0.06, 237.27, 4.82, -16.13, -0.11, 0.45, -0.16
21944, -0.08, -1.17, 0.14, 186.80, -78.85, 5.05, -0.11, 0.45, -0.12
22018, -0.06, -1.01, -0.07, 96.50, 41.49, 8.78, -0.11, 0.45, -0.07
22088, -0.16, -1.40, 0.22, -45.42, 18.59, -12.18, -0.11, 0.44, -0.07
22158, -0.06, -0.89, 0.19, -203.38, 0.31, 44.70, -0.11, 0.45, -0.12
22227, -0.03, -1.04, 0.26, -196.36, 55.46, 20.65, -0.10, 0.44, -0.22
22296, 0.05, -0.89, 0.59, -286.69, 25.72, 12.49, -0.09, 0.42, -0.25
22365, 0.14, -0.41, 0.96, -286.05, 4.79, 4.95, -0.08, 0.38, -0.30
22434, 0.08, -0.03, 0.78, -236.63, 21.75, 39.52, -0.05, 0.27, -0.36
22506, 0.16, 0.18, 0.70, -286.72, 51.06, 25.02, -0.05, 0.21, -0.37
22575, 0.30, 0.61, 0.64, -286.72, 51.79, 44.92, -0.03, 0.07, -0.32
22644, 0.14, 0.57, 0.27, -286.72, -16.83, 58.19, -0.04, 0.02, -0.26
22714, -0.12, 1.20, -0.37, -286.72, -9.00, 45.03, -0.06, -0.00, -0.20
22784, -0.08, 1.48, -0.53, -230.09, 4.33, 51.77, -0.08, -0.01, -0.06
22853, -0.07, 0.84, -0.40, -153.90, 4.14, -11.96, -0.07, 0.01, -0.03
22922, -0.04, 0.82, -0.78, -163.70, -3.01, -11.88, -0.07, 0.02, -0.01
22994, 0.05, 0.68, -0.56, -94.14, -12.55, 5.37, -0.07, 0.04, 0.04
23064, 0.03, 0.18, -0.99, -113.72, 14.62, -18.10, -0.07, 0.06, 0.05
23133, -0.03, 0.36, -1.22, -81.50, 34.64, 22.06, -0.08, 0.10, 0.08
23202, -0.06, 0.34, -1.08, -47.22, 14.39, 12.27, -0.09, 0.11, 0.08
23273, -0.09, 0.27, -1.10, -138.22, 6.58, -12.98, -0.09, 0.14, 0.08
23343, -0.05, -0.11, -1.05, -225.10, -27.87, -22.92, -0.09, 0.19, 0.11
23412, -0.02, -0.39, -0.93, -262.87, -42.48, -29.64, -0.09, 0.24, 0.11
23481, 0.02, -0.71, -1.17, -113.07, 42.44, -2.42, -0.08, 0.28, 0.11
23555, -0.02, -0.41, -0.83, -81.72, 19.49, 62.44, -0.09, 0.32, 0.10
23624, -0.02, -0.48, -0.80, -80.99, -26.42, 21.17, -0.09, 0.34, 0.08
23694, -0.04, -0.73, -0.73, -22.18, -20.63, 10.37, -0.09, 0.36, 0.07
23763, 0.00, -0.74, -0.65, 15.86, -12.17, -3.26, -0.09, 0.37, 0.08
23833, 0.06, -0.68, -1.02, 129.16, 2.02, -13.40, -0.08, 0.35, 0.08
23902, 0.03, -0.41, -1.13, 104.18, -6.69, -5.18, -0.08, 0.30, 0.11
23970, 0.04, -0.25, -1.07, 183.21, -34.40, 3.85, -0.07, 0.26, 0.13
24045, 0.05, 0.16, -1.02, 286.68, -45.33, -8.97, -0.07, 0.20, 0.12
24115, 0.18, 0.43, -1.05, 268.00, 16.81, -19.00, -0.04, 0.06, 0.07
24184, 0.21, 0.45, -0.44, 286.68, -7.19, 44.30, -0.04, 0.01, 0.02
24254, 0.00, 1.08, -0.27, 164.52, 38.25, -27.80, -0.04, -0.03, -0.12
24323, 0.12, 1.02, 0.07, 234.97, -0.82, -0.64, -0.04, -0.02, -0.19
24418, 0.21, 0.76, 0.17, 286.68, 33.49, -13.24, -0.03, 0.04, -0.29
24487, 0.07, 0.58, 0.70, 238.39, 18.77, -6.48, -0.04, 0.09, -0.34
24556, 0.12, 0.44, 0.93, 233.93, -3.47, 6.82, -0.03, 0.15, -0.37
24629, 0.15, -0.08, 0.98, 266.96, 6.57, -14.89, -0.04, 0.27, -0.37
24698, 0.15, -0.47, 0.85, 273.29, -1.91, -16.37, -0.04, 0.33, -0.35
24768, 0.12, -0.54, 0.44, 282.99, 18.02, -36.78, -0.05, 0.43, -0.28
24837, 0.12, -1.08, 0.17, 239.68, 3.96, -60.02, -0.07, 0.45, -0.23
24906, 0.01, -1.05, 0.05, 231.77, -49.25, -33.88, -0.08, 0.46, -0.18
24976, -0.04, -1.09, -0.01, 199.16, -27.26, -19.07, -0.10, 0.45, -0.06
25044, -0.06, -0.97, -0.16, 114.99, -10.59, -33.05, -0.10, 0.44, -0.03
25118, -0.13, -1.01, -0.50, 110.45, 52.82, -18.97, -0.11, 0.40, -0.01
25188, -0.17, -0.79, -0.39, 88.75, -11.78, -2.28, -0.11, 0.39, 0.01
25256, -0.09, -0.79, -0.63, 71.59, -9.00, 0.50, -0.11, 0.38, 0.01
25326, -0.11, -0.84, -0.66, -23.25, 17.87, 4.96, -0.11, 0.38, 0.02
25395, -0.14, -1.05, -0.57, -31.75, 12.90, 12.17, -0.12, 0.38, 0.02
25464, -0.13, -0.97, -0.21, -259.17, 16.08, 71.24, -0.12, 0.40, -0.00
25534, -0.06, -0.97, -0.19, -225.89, 40.71, 61.08, -0.10, 0.46, -0.12
25602, 0.01, -1.08, 0.19, -232.46, 1.95, 13.71, -0.09, 0.46, -0.15
25676, -0.03, -0.88, 0.72, -179.91, -29.58, -2.21, -0.08, 0.45, -0.21
25746, 0.03, -0.65, 0.62, -251.06, 10.01, 8.20, -0.08, 0.40, -0.29
25816, 0.08, -0.27, 0.95, -286.09, 19.64, -11.62, -0.08, 0.35, -0.33
25885, 0.05, -0.05, 0.88, -121.65, -6.99, -10.92, -0.06, 0.26, -0.37
25955, 0.04, 0.05, 1.10, -60.45, -31.32, -2.55, -0.07, 0.24, -0.36
26023, 0.11, 0.06, 0.70, -161.08, 62.20, -10.84, -0.07, 0.21, -0.37
26093, 0.13, 0.52, 0.65, -21.90, 8.74, 40.51, -0.06, 0.17, -0.36
26167, 0.03, 0.29, 1.02, 60.65, -8.86, -3.84, -0.06, 0.18, -0.36
26237, 0.04, 0.08, 0.94, 94.81, -14.59, 14.00, -0.07, 0.22, -0.37
26308, 0.08, 0.03, 0.94, 21.80, 3.99, -8.15, -0.07, 0.23, -0.36
26377, 0.09, 0.12, 0.77, 14.68, 14.14, -1.84, -0.06, 0.23, -0.36
26447, 0.03, 0.07, 1.35, 25.79, -17.84, 47.75, -0.06, 0.26, -0.37
26517, 0.08, 0.00, 0.98, 30.11, 16.97, 124.08, -0.05, 0.27, -0.36
26586, 0.00, 0.30, 0.91, 21.65, -16.15, 158.89, -0.05, 0.29, -0.36
26655, 0.07, -0.45, 0.90, 40.31, 1.17, 71.67, -0.04, 0.32, -0.36
26728, 0.09, -0.22, 0.81, 12.51, -6.22, 156.97, -0.03, 0.35, -0.36
26798, 0.04, -0.24, 0.72, -66.05, -2.99, 150.37, 0.00, 0.35, -0.38
26866, -0.05, -0.06, 1.08, -5.67, 11.53, 172.22, 0.02, 0.36, -0.37
26936, -0.09, 0.51, 0.86, 38.45, 5.17, 214.93, 0.05, 0.37, -0.37
27005, -0.20, -0.07, 1.05, 1.00, -23.49, 139.96, 0.09, 0.38, -0.37
27075, -0.08, 0.04, 1.00, 2.40, -16.04, 141.50, 0.11, 0.39, -0.37
27143, -0.04, -0.20, 0.69, -13.85, -0.11, 125.67, 0.13, 0.38, -0.36
27218, -0.07, -0.28, 1.13, -3.78, -47.99, 81.64, 0.15, 0.36, -0.37
27288, -0.25, 0.30, 0.98, 2.83, 3.00, 137.55, 0.16, 0.35, -0.37
27358, -0.23, 0.25, 0.96, 29.93, 13.21, 115.02, 0.19, 0.33, -0.36
27427, -0.14, -0.21, 0.94, 44.03, 33.33, 64.98, 0.20, 0.34, -0.36
27497, -0.08, -0.05, 0.92, -2.70, 19.77, 71.17, 0.22, 0.33, -0.35
27566, -0.08, 0.23, 0.86, -39.72, 11.71, 42.78, 0.24, 0.31, -0.36
27635, -0.02, -0.01, 1.29, -27.94, -19.79, -45.42, 0.24, 0.30, -0.35
27705, -0.23, 0.59, 0.82, -13.20, 3.65, -27.50, 0.23, 0.31, -0.36
27778, -0.01, -0.30, 1.04, -79.00, 25.52, -104.19, 0.22, 0.33, -0.35
27848, -0.02, 0.30, 0.74, -63.39, 3.79, -54.52, 0.22, 0.33, -0.35
27919, -0.08, 0.14, 1.25, -8.79, -63.63, -107.01, 0.18, 0.33, -0.37
27988, -0.07, 0.44, 0.50, 21.59, 25.74, -111.05, 0.17, 0.34, -0.37
28059, -0.31, -0.12, 1.35, 56.04, -66.01, -183.37, 0.16, 0.35, -0.37
28128, -0.08, 0.37, 0.67, 59.73, 64.74, -133.00, 0.10, 0.38, -0.36
28198, 0.19, -0.21, 1.07, -45.79, -21.69, -238.51, 0.08, 0.36, -0.38
28271, -0.15, -0.26, 0.80, 11.19, -40.98, -223.83, 0.05, 0.36, -0.37
28340, 0.01, 0.10, 0.95, 12.05, 10.05, -140.02, -0.00, 0.34, -0.38
28409, 0.17, -0.79, 0.89, 85.67, 27.13, -116.92, -0.01, 0.33, -0.38
28479, 0.24, -0.48, 0.77, -9.88, 36.78, -1.23, -0.01, 0.32, -0.38
28574, 0.10, -0.12, 0.75, 34.11, -5.78, -144.68, 0.00, 0.32, -0.38
28644, -0.22, 0.01, 0.89, 54.26, -16.00, -104.38, -0.02, 0.31, -0.37
28712, 0.05, 0.11, 1.53, 5.61, -17.75, -156.66, -0.03, 0.32, -0.37
28783, 0.17, -0.19, 0.56, 49.96, 9.91, -221.90, -0.04, 0.29, -0.37
28857, 0.10, -0.46, 0.85, 64.36, 2.91, -84.34, -0.06, 0.28, -0.36
28926, 0.08, 0.07, 1.02, 7.99, 12.17, -64.60, -0.07, 0.29, -0.36
28996, 0.02, -0.28, 1.01, -63.19, 3.12, -121.95, -0.06, 0.25, -0.36
29065, -0.03, -0.00, 1.07, -14.96, -17.23, -192.37, -0.06, 0.22, -0.35
29133, 0.01, -0.13, 1.01, -23.91, 23.62, -104.91, -0.05, 0.20, -0.37
29204, -0.02, 0.19, 0.86, -18.68, 48.45, -148.13, -0.02, 0.18, -0.37
29272, 0.12, -0.37, 0.74, -45.16, 23.06, -220.87, -0.00, 0.16, -0.38
29346, -0.10, 0.02, 0.79, 44.79, -36.91, -116.07, 0.01, 0.16, -0.38
29416, -0.20, 0.00, 0.92, -5.88, -50.48, -210.17, 0.00, 0.15, -0.37
29486, -0.39, -0.24, 1.09, -24.88, 42.88, -225.07, 0.01, 0.14, -0.37
29555, -0.02, 0.03, 0.86, -23.50, 25.37, -47.56, 0.04, 0.10, -0.36
29625, 0.05, 0.03, 1.23, -62.55, -7.95, -95.48, 0.05, 0.08, -0.35
29694, -0.17, -0.75, 1.26, -28.36, -30.40, -144.04, 0.05, 0.05, -0.34
29764, -0.15, -0.03, 0.87, -9.74, -5.04, -51.84, 0.07, 0.03, -0.32
29833, -0.04, 0.01, 0.90, 1.01, 14.69, -31.78, 0.07, 0.03, -0.32
29914, -0.08, -0.00, 0.86, 6.75, -5.02, -16.43, 0.10, 0.02, -0.32
29983, -0.00, -0.02, 0.86, 15.14, -17.67, 20.60, 0.09, 0.03, -0.33
30053, -0.00, -0.22, 0.83, 35.36, 27.89, 60.35, 0.09, 0.03, -0.34
30123, -0.24, -0.30, 1.15, 31.31, -59.64, 101.19, 0.04, 0.06, -0.35
30192, -0.27, 0.07, 1.04, 12.21, -1.07, 221.73, 0.01, 0.09, -0.37
30262, -0.10, -0.16, 0.65, 11.22, 28.35, 176.10, -0.00, 0.15, -0.38
30331, -0.24, -0.43, 0.96, 18.62, -8.54, 184.83, -0.01, 0.17, -0.38
30404, -0.29, -0.06, 0.84, 71.55, -10.58, 254.31, -0.02, 0.17, -0.38
30474, -0.01, -0.41, 0.63, 22.30, 18.86, 192.24, -0.02, 0.21, -0.39
30543, -0.26, -0.89, 1.17, 42.79, -131.14, 153.83, -0.04, 0.24, -0.37
30613, -0.07, -0.12, 0.91, -16.42, -26.21, 235.73, -0.06, 0.26, -0.37
30682, -0.13, 0.25, 0.86, -76.11, -22.49, 143.33, -0.07, 0.28, -0.36
30752, -0.07, -0.05, 0.73, -47.77, -21.90, 140.66, -0.07, 0.27, -0.35
30822, -0.02, -0.42, 0.89, -10.12, -35.60, 55.82, -0.08, 0.29, -0.35
30894, -0.06, 0.00, 0.88, 9.17, -27.58, 21.38, -0.09, 0.30, -0.34
30963, -0.15, 0.38, 0.91, 13.52, -30.77, 38.32, -0.09, 0.31, -0.33
31033, -0.03, -0.43, 0.69, -15.50, 47.56, -45.18, -0.09, 0.30, -0.34
31101, -0.05, -0.49, 1.11, 32.95, -6.13, -33.16, -0.09, 0.30, -0.33
31170, -0.09, 0.15, 1.02, -2.84, -5.32, 23.86, -0.09, 0.31, -0.34
31239, -0.08, -0.15, 1.06, -17.29, 5.04, 7.90, -0.09, 0.30, -0.33
31308, -0.06, -0.18, 0.94, -3.28, 6.13, -7.74, -0.09, 0.30, -0.33
31378, -0.07, -0.06, 0.98, 1.50, 0.32, 4.05, -0.09, 0.30, -0.34
31449, -0.07, 0.01, 0.91, -5.44, -0.47, 8.35, -0.09, 0.30, -0.34
31517, -0.06, -0.08, 0.90, 1.06, 3.82, 5.82, -0.09, 0.30, -0.34
31587, -0.05, -0.18, 0.99, 10.24, -2.35, -16.56, -0.09, 0.30, -0.34
31656, -0.05, -0.18, 0.95, 11.52, 1.23, -1.74, -0.09, 0.30, -0.34
31726, -0.03, -0.14, 0.91, -15.93, 6.66, -2.92, -0.08, 0.30, -0.34
31795, -0.03, -0.15, 0.98, 6.72, -0.68, -4.31, -0.09, 0.30, -0.34
31864, -0.05, -0.03, 0.96, 2.31, -9.69, 11.88, -0.09, 0.30, -0.34
31935, -0.06, -0.10, 0.95, -4.81, 0.79, -1.57, -0.09, 0.30, -0.34
32007, -0.05, -0.01, 0.93, 1.36, -17.12, 6.70, -0.09, 0.31, -0.34
32076, -0.08, -0.18, 0.84, 5.43, -14.10, -9.47, -0.09, 0.30, -0.34
32146, -0.04, -0.04, 0.70, 65.73, -84.64, -1.65, -0.11, 0.31, -0.31
32216, -0.26, -0.45, 1.00, -9.32, -62.74, -6.68, -0.13, 0.31, -0.30
32284, -0.23, -0.06, 0.79, -30.81, -93.48, -7.99, -0.14, 0.31, -0.29
32354, -0.42, -0.12, 1.04, -35.01, -106.78, -8.80, -0.16, 0.30, -0.24
32422, -0.53, -0.17, 0.44, 40.30, -101.35, 20.19, -0.18, 0.30, -0.23
32494, -0.82, -0.03, 0.84, 13.38, -73.31, 14.18, -0.18, 0.31, -0.19
32563, -0.68, -0.40, 0.59, 35.53, -94.87, 41.44, -0.20, 0.31, -0.15
32643, -0.73, -0.19, 0.11, -7.60, -44.49, -7.08, -0.19, 0.33, -0.13
32726, -0.88, -0.19, 0.48, -7.59, -49.99, -13.42, -0.18, 0.32, -0.09
32794, -0.71, -0.47, 0.17, -16.64, -13.93, -22.55, -0.19, 0.32, -0.09
32863, -0.97, 0.03, 0.73, 9.41, 31.74, -12.43, -0.18, 0.32, -0.09
32932, -0.84, -0.41, 0.49, 8.74, 71.86, -13.38, -0.19, 0.31, -0.11
33002, -1.00, 0.03, 0.63, 48.33, 200.89, 14.51, -0.19, 0.32, -0.12
33074, -0.62, -0.13, 0.91, -4.92, 153.48, -12.24, -0.17, 0.31, -0.22
33142, -0.29, -0.56, 0.86, 8.37, 182.34, -27.40, -0.16, 0.31, -0.26
33211, -0.19, 0.16, 0.69, -7.35, 244.19, 71.00, -0.13, 0.31, -0.30
33281, 0.21, -0.11, 0.99, -34.85, 169.76, 0.92, -0.04, 0.31, -0.36
33350, 0.31, -0.12, 1.07, -3.57, 136.48, -9.22, -0.00, 0.31, -0.39
33420, 0.46, -0.28, 0.85, -64.01, 164.56, -7.81, 0.08, 0.29, -0.40
33489, 0.61, 0.16, 0.48, -81.49, 176.76, 23.74, 0.14, 0.27, -0.40
33563, 0.78, 0.07, 0.62, -26.78, 124.95, -16.84, 0.18, 0.25, -0.40
33634, 0.79, 0.22, -0.04, -43.06, 162.11, -18.71, 0.23, 0.25, -0.37
33702, 0.70, -0.12, 0.06, 14.66, 118.18, -61.05, 0.26, 0.26, -0.35
33771, 1.14, -0.25, 0.07, -11.44, 62.50, -63.03, 0.29, 0.26, -0.32
33840, 1.00, -0.05, 0.02, 17.15, 34.99, 14.86, 0.31, 0.29, -0.30
33909, 1.01, -0.17, 0.03, 17.87, 33.14, 12.56, 0.31, 0.28, -0.31
33979, 1.14, 0.11, -0.18, -24.21, -0.60, 24.06, 0.33, 0.28, -0.30
34049, 0.84, -0.15, -0.22, -42.39, -225.92, -26.42, 0.30, 0.26, -0.32
34131, 0.82, 0.03, 0.47, -1.02, -130.34, 47.47, 0.19, 0.26, -0.39
34200, 0.69, 0.04, 0.75, 65.97, -191.05, 33.07, 0.16, 0.26, -0.40
34269, 0.50, -0.44, 0.93, 46.04, -159.01, -35.47, 0.10, 0.27, -0.41
34338, 0.18, 0.32, 0.65, -25.02, -234.46, 29.36, 0.01, 0.27, -0.40
34407, 0.18, -0.10, 0.98, 11.62, -160.23, 16.55, -0.05, 0.28, -0.37
34476, -0.09, -0.11, 1.01, -25.02, -139.53, 11.79, -0.08, 0.28, -0.35
34545, -0.50, -0.04, 0.59, 7.79, -129.78, -12.32, -0.13, 0.28, -0.31
34619, -0.43, -0.35, 0.87, 40.73, -125.29, 13.87, -0.15, 0.28, -0.28
34689, -0.43, 0.14, 0.95, 19.45, -124.08, 74.50, -0.17, 0.29, -0.26
34758, -0.65, -0.43, 0.76, 44.40, -104.33, -23.77, -0.18, 0.32, -0.19
34827, -0.59, -0.48, 0.49, 46.64, -64.76, -26.73, -0.19, 0.32, -0.16
34896, -0.82, -0.10, 0.70, 16.60, -80.40, -7.37, -0.19, 0.30, -0.12
34966, -0.84, -0.28, 0.49, -5.70, -44.29, -12.40, -0.19, 0.30, -0.12
35035, -0.90, -0.32, 0.62, -16.07, -37.40, -26.21, -0.18, 0.30, -0.10
35109, -0.94, -0.23, 0.72, -28.73, -15.44, -1.45, -0.18, 0.30, -0.07
35179, -0.91, -0.21, 0.61, 2.17, -6.67, 20.78, -0.18, 0.30, -0.08
35248, -0.89, 0.00, 0.67, 6.38, 48.84, -6.01, -0.19, 0.30, -0.09
35317, -0.84, -0.34, 0.79, 37.97, 130.93, -47.16, -0.19, 0.29, -0.13
35387, -0.71, -0.42, 0.91, -18.01, 160.29, -32.77, -0.19, 0.28, -0.17
35457, -0.63, -0.02, 0.43, -25.93, 286.51, 53.75, -0.15, 0.28, -0.28
35526, -0.07, -0.04, 0.92, -38.32, 192.78, 28.42, -0.11, 0.28, -0.33
35597, 0.21, -0.48, 0.77, -32.18, 189.15, 0.23, -0.06, 0.29, -0.36
35670, 0.26, 0.09, 0.88, -34.47, 192.41, 32.10, 0.03, 0.28, -0.40
35739, 0.54, 0.20, 0.69, -58.49, 196.08, 44.78, 0.09, 0.27, -0.41
35809, 0.70, 0.17, 0.51, -37.44, 203.60, 3.33, 0.15, 0.25, -0.39
35880, 0.99, 0.02, 0.53, 21.91, 119.59, -20.52, 0.25, 0.24, -0.37
35950, 0.78, 0.03, 0.41, 17.25, 111.92, -2.80, 0.28, 0.25, -0.35
36019, 0.86, 0.08, -0.08, -12.55, 207.25, -21.93, 0.34, 0.26, -0.29
36088, 0.88, -0.03, -0.55, -17.40, 234.21, -21.84, 0.36, 0.27, -0.25
36162, 0.93, -0.22, -0.39, 9.24, 48.51, -8.92, 0.38, 0.27, -0.20
36230, 1.00, -0.23, -0.26, 13.75, 37.15, 19.84, 0.39, 0.27, -0.17
36298, 1.03, 0.15, -0.37, 9.88, 89.91, 70.75, 0.40, 0.26, -0.15
36367, 0.93, -0.07, -0.62, -12.06, 59.60, -24.78, 0.40, 0.24, -0.13
36436, 0.64, 0.10, -0.88, 4.21, 72.15, 13.91, 0.40, 0.24, -0.09
36506, 0.81, 0.04, -0.64, 12.72, 67.50, 47.99, 0.40, 0.24, -0.08
36575, 0.68, -0.05, -0.55, 0.28, 52.19, 49.63, 0.39, 0.21, -0.05
36644, 0.41, 0.08, -0.86, -6.59, 34.90, -13.07, 0.39, 0.21, -0.04
36721, 0.41, -0.04, -0.87, 8.39, -19.35, -8.21, 0.38, 0.21, -0.03
36802, 0.59, 0.18, -0.81, 3.23, -55.96, 5.27, 0.39, 0.21, -0.04
36883, 0.81, 0.02, -1.18, -35.93, -164.77, -61.22, 0.40, 0.23, -0.11
36953, 0.93, -0.17, -0.26, 7.95, -286.59, -31.86, 0.38, 0.24, -0.18
37021, 0.88, -0.24, 0.37, 15.96, -227.54, -15.21, 0.37, 0.24, -0.25
37091, 0.93, 0.03, -0.35, -37.01, -111.13, 38.88, 0.32, 0.23, -0.31
37160, 0.93, 0.42, 0.55, 15.03, -151.98, 78.16, 0.28, 0.23, -0.35
37230, 0.89, 0.07, 0.63, 58.85, -154.67, 20.81, 0.26, 0.23, -0.37
37304, 0.69, -0.58, 0.67, 53.95, -121.41, -44.42, 0.19, 0.24, -0.40
37373, 0.59, -0.02, 0.43, 13.55, -119.33, -14.25, 0.16, 0.24, -0.40
37443, 0.42, 0.01, 0.83, 47.33, -168.84, -13.69, 0.08, 0.26, -0.42
37512, 0.51, 0.08, 0.74, 15.54, -96.39, -17.47, 0.05, 0.26, -0.41
37581, 0.23, -0.18, 1.06, 11.56, -114.15, -5.72, 0.02, 0.27, -0.40
37651, 0.52, 0.09, 1.23, 2.90, -120.29, 11.86, -0.04, 0.28, -0.38
37720, 0.00, -0.26, 0.77, 13.97, -53.06, 0.78, -0.06, 0.29, -0.37
37791, 0.61, 0.32, 1.06, 8.28, -95.24, 17.59, -0.08, 0.29, -0.36
37861, -0.13, -0.20, 0.93, 3.99, -74.40, 10.77, -0.11, 0.30, -0.33
37931, -0.18, -0.10, 0.76, 21.85, -57.69, 9.69, -0.12, 0.30, -0.30
38000, -0.36, -0.32, 0.62, 34.66, -64.93, -0.12, -0.14, 0.31, -0.26
38070, -0.37, 0.07, 0.99, -12.03, -52.10, 8.86, -0.16, 0.31, -0.25
38139, -0.57, -0.41, 1.17, -15.23, -46.52, -23.42, -0.16, 0.30, -0.24
38209, -0.65, -0.34, 1.16, 9.82, 19.67, -34.76, -0.17, 0.29, -0.24
38278, -0.51, -0.27, 0.92, 0.34, 109.87, -6.84, -0.16, 0.29, -0.26
38360, -0.26, -0.13, 1.34, 10.87, 186.68, -8.30, -0.11, 0.29, -0.32
38429, 0.09, 0.04, 1.08, -42.15, 93.68, 47.13, -0.07, 0.28, -0.36
38499, 0.15, 0.01, 0.41, 43.31, 127.06, 0.33, -0.05, 0.29, -0.37
38568, 0.22, -0.09, 0.98, -17.49, 38.29, -2.63, -0.02, 0.28, -0.39
38638, 0.43, -0.37, 0.19, -71.76, 91.52, -15.00, 0.00, 0.27, -0.39
38706, 0.27, 0.13, 1.28, 25.47, -102.22, -9.00, 0.00, 0.25, -0.39
38775, 0.01, -0.35, 0.87, 13.24, -37.48, -38.14, -0.03, 0.25, -0.38
38848, 0.22, -0.32, 1.00, 117.63, -74.37, -56.65, -0.05, 0.26, -0.37
38918, 0.11, -0.53, 1.17, -61.83, 15.23, -28.91, -0.07, 0.26, -0.36
38986, 0.09, 0.16, 0.60, -49.13, -28.54, 37.69, -0.06, 0.26, -0.36
39055, 0.02, 0.05, 1.36, -3.03, -60.55, -7.08, -0.07, 0.24, -0.36
39124, 0.05, -0.13, 0.80, 21.25, 60.32, 8.08, -0.07, 0.25, -0.37
39194, 0.09, -0.17, 0.96, 17.04, 11.47, 12.70, -0.06, 0.25, -0.36
39263, 0.05, 0.14, 1.03, -1.60, -4.32, 18.82, -0.06, 0.25, -0.36
39332, 0.09, 0.10, 1.04, -3.36, 12.92, 7.99, -0.06, 0.25, -0.37
39404, 0.25, -0.18, 0.76, -31.26, 43.93, -21.83, -0.05, 0.25, -0.37
39473, 0.17, 0.01, 1.06, 5.25, -10.19, 23.11, -0.04, 0.24, -0.38
39542, 0.20, 0.01, 0.71, -20.27, 21.73, 14.85, -0.04, 0.24, -0.38
39612, 0.17, -0.05, 0.96, 11.93, -19.52, -1.79, -0.04, 0.24, -0.38
39682, 0.14, 0.15, 1.06, 4.67, -5.74, 8.33, -0.05, 0.24, -0.38
39751, 0.17, -0.15, 0.97, 5.15, 5.32, -10.63, -0.04, 0.25, -0.38
39820, 0.23, 0.07, 0.81, 6.26, 14.72, 7.66, -0.04, 0.25, -0.38
39889, 0.22, -0.08, 0.97, -4.68, -8.42, 1.33, -0.04, 0.25, -0.38
39963, 0.21, -0.06, 0.92, 6.51, 8.57, -8.72, -0.05, 0.25, -0.38
40033, 0.20, 0.04, 0.87, 6.52, 13.77, 3.88, -0.04, 0.25, -0.38
40102, 0.19, -0.08, 1.02, 13.36, -8.56, 3.16, -0.04, 0.26, -0.39
40172, 0.21, -0.07, 0.88, 0.69, 3.54, -6.00, -0.04, 0.25, -0.38
40242, 0.19, 0.03, 0.94, 1.99, -2.28, 5.32, -0.03, 0.26, -0.39
40309, 0.22, -0.10, 0.93, 4.08, -1.47, -8.06, -0.04, 0.26, -0.38
40378, 0.22, -0.05, 0.98, 7.35, -4.36, 2.00, -0.04, 0.26, -0.38
40451, 0.22, -0.05, 0.89, 0.90, 8.55, 2.88, -0.03, 0.26, -0.38
